title;last_response;responses;views;link;categorie;date;first_post
Data eller systemvetenskap på Uppsala?;2021-07-08;7;628;https://www.flashback.org/t3339561;Utbildning och studier;2021-07-07;"Kom inte in på YH-utbildningen jag sökt till så jag laddar om för HP i höst och ska försöka ta mig in på högskola istället. Jag vill ha ett jobb inom IT och tyckte UU såg finfint ut, men ser att de erbjuder två utbildningar. En Datavetenskap och en Systemvetenskap (kandidat), som de på engelska kallar för Bachelor of Science och Bachelor of Social Science respektive. 

Någon som har tagit någon av dessa? I mina öron låter det som att båda dessa hade lett till rätt fina IT-karriärer, men jag har egentligen lite svårt att se vad den praktiska skillnaden är. Hade ett IT-företag ratat någon med en Systemvetenskap-utbildning?

Tack för svar!"
YH: Pythonutvecklare med inriktning AI;2021-06-23;6;665;https://www.flashback.org/t3336293;Utbildning och studier;2021-06-22;"Har visst blivit antagen till ett yh-program som heter Pythonutvecklare med inriktning AI.

Hur ser jobbchanserna ut där? 

Är sugen på att säga upp mig och göra nåt nytt. Jag kan grundläggande programmering sen innan men är inget Pythonproffs.

De flesta på Flashback har ju minst 5 år på någon av de bästa högskolorna i Sverige men jag tänker ur ett mer normalt perspektiv."
Matematik- och fysikprovet 2020;2021-06-22;85;11957;https://www.flashback.org/t3046445;Utbildning och studier;2019-05-26;"Matematik- och fysikprovet är ett gemensamt antagningsprov till några utvalda utbildningar vid Chalmers och KTH (civilingenjörsprogrammen Elektroteknik, Teknisk fysik, Teknisk matematik, Kemiteknik med fysik samt för civilingenjör/arkitektprogrammet Arkitektur och teknik). 
Provet genomförs en lördag i maj mellan kl 9:00-16:00 med avbrott för lunch mellan 12.00-14.00. 
Total maxpoäng på Matematik- och fysikprovet är 75, varav 45 på matematikdelen och 30 på fysikdelen. För att resultatet skall räknas som meritvärde vid ansökan till Chalmers och KTH krävs minst 30 poäng sammantaget.
________________________________________
http://www.matematik-och-fysikprovet.se/
________________________________________

Jag tänkte att vi kunde använda den här tråden för att både diskutera resultat/frågor på provet. Tills dess så kan vi väl dela med oss råd/tips/frågor?"
Data- och Systemvetenskap;2021-06-10;1654;363286;https://www.flashback.org/t719087;Utbildning och studier;2004-05-06;Någon som har erfarenhet av denna utbildning? Allt av intresse!
Här sätter vi ihop vår egen utbildning i Data Science!;2021-06-09;45;3793;https://www.flashback.org/t3264543;Utbildning och studier;2020-09-08;"Inspirerad av Scott Young, mannen som skapade Ultralearning och läste in hela MIT:s 4-åriga program i data science på 1 år, är jag sugen på att göra något liknande, men baserat på svenska universitets utbildningar och ""på riktigt"". Här i Sverige har vi som bekant gratis utbildningar, så då kan man lika gärna gå kurserna på allvar och få poäng, fast kanske på ett lite annorlunda sätt.

I tråden jag skapade för ett tag sedan om EC Utbildnings nya YH-utbildning ""Data Scientist"" var det någon som sade att den utbildningen förmodligen är skit och att man lika gärna kan plocka ihop enstaka kurser från högskolorna istället. Detta tycker jag låter som en mycket bra idé och det är just det vi skall försöka göra i den här tråden!

Programmen i Data Science är de tredje svåraste att komma in på i Sverige efter läkarutbildningen och psykologprogrammet. Men även om man skulle bli antagen, behöver man verkligen alla de ingående kurserna för att bli attraktiv på arbetsmarknaden? Nej, skulle jag vilja hävda. Jag har än så länge bara kollat Chalmers/GU:s program i datavetenskap, men ärligt talat: vem f-n behöver lära sig att programmera i Haskell?

Jag skulle istället vilja föreslå att man läser de ingående kurserna i linjär algebra, analys och statistik. Dessa, eller några likvärdiga, kan (troligen) sökas som fristående kurser. Sedan kan man ta universitetskurser i Python m.fl. programmeringsspråk separat också.

Kort sagt: Jag tänkte att vi i den här tråden skulle hjälpas åt att tråla igenom antagning.se samt liknande portaler efter kurser som går att söka som fristående och som i högsta möjliga mån ger ett likvärdigt utfall som om vi skulle ha läst ett program i datavetenskap vid t.ex. GU/SU/KTH/UU/LiU. Sätt mycket gärna ihop ett eget curriculum som ni tror skulle kunna funka. Ni kan utgå från universiteten där ni bor eller ge förslag på distanskurser. Kunde man få ihop ett par riktiga listor, med kurser som spänner över tre år som ett riktigt Data Science-program, så vore det super!

På så sätt skulle man kunna kringgå såväl höga antagningskrav som meningslösa kurser. Om man dessutom kör en Scott Young så skulle man kunna dubbelläsa genom att t.ex. gå någon kurs vid ett lärosäte där man bor och samtidigt läsa en annan vid sidan om på distans.

Lyckas man med detta så tror jag att t.o.m. ett Ladok-utdrag med fristående data science-kurser (om det nu inte skulle gå att plocka ihop till en officiell bachelor) skulle slå betydligt högre hos en arbetsgivare än något från EC-utbildning eller liknande, där det inte ens krävs högre matematik."
Data Science som YH-utbildning?;2021-06-09;21;1726;https://www.flashback.org/t3251346;Utbildning och studier;2020-07-20;"Vad tror ni som är insatta om denna utbildning?

https://www.ecutbildning.se/utbildni...ata-scientist/

Ja, jag vet att EC utbildning har ett dåligt rykte på FB (även om inläggen som berör företaget är gamla), men faktum är att jag känner folk som har fått jobb genom dem. Dock inte genom den här utbildningen, som är helt ny. 

Och ja, jag vet också att Data Science naturligtvis skall läsas på universitetet, som ofta brukar påtalas på FB. Men om man redan har en ganska gedigen utbildning i statistik el. liknande från universitetet, fast saknar kontakter och programmeringskunskaper, skulle då detta kunna vara något? 

Personligen tror jag kanske inte att utbildningen är ren kattskit, men samtidigt verkar den inte innehålla så mycket mer än vad man själv skulle kunna tillägna sig genom ett årsabonnemang för 200-300 dollar på Dataquest.io el. liknande. Fast då får man så klart ingen LIA-plats."
3 omtentor i fysik + 1 omtenta i matematik under sommaren;2021-06-07;25;2071;https://www.flashback.org/t3331995;Utbildning och studier;2021-06-03;"De 3 tentorna i fysik är lite mer text-orienterade. Omtentan i matematik berör komplex- och transformteori. 

Hur rimligt är det att klara 4 omtentor under augusti om man redan är utbränd och på allvar funderar på att hoppa av en bro?

Studerar 4:e av 5:te året på ett fysik-orienterat program."
Full stack utvecklare - Vilken utbildning?;2021-05-26;5;551;https://www.flashback.org/t3330183;Utbildning och studier;2021-05-26;Vad anser ni man bör läsa för utbildning för att ha en chans att lyckas? Datavetenskapliga program självklart men är verkligen det allt?
"Utbildningen ""Fullstack Webbutvecklare"" på Chas Academy (YH-utbildning)";2021-05-14;1;457;https://www.flashback.org/t3007810;Utbildning och studier;2019-01-05;"Jag undrar om det är någon som gått denna utbildning och/eller har någon erfarenhet av denna yrkeshögskola? Det är nämligen så att jag är sugen på att söka dit, då det verkar som ett till synes bra alternativ om man som jag vill arbeta inom webbutveckling/IT, men inte vill gå systemvetenskap/datateknik på KTH eller SU.

Chas var som jag förstått det till en början enbart ett IT-konsultbolag, som på senare tid börjat erbjuda denna utbildning, både för företag men även för YH-studenter. Jag hittar dock inte mycket information på varken Flashback eller övriga webben förutom på deras egna hemsida. Av den anledningen vill jag göra lite research för att se vad allmänheten har att säga om detta.

Deras hemsida: https://chasacademy.se/
Utbildningens kursplan: https://www.notion.so/Fullstack-Webb...4384bef0f93fba

Har någon av er erfarenhet av Chas antingen i egenskap av konsultbolag eller utbildningsinstitution?

Om ni gått utbildningen, vad tyckte ni om den? Fick ni det stöd i undervisningen ni behövde? Trivdes ni? Hur var lärarna? Hur var det att praktisera, och blev ni erbjudna anställning vid avslutad praktik?

Ni som är insatta inom webbutveckling, ta gärna en titt på kursplanen och berätta vad ni tycker om den. Innehåller den relevanta moment samt vad är era åsikter om det generella upplägget?

Tack på förhand."
Sjuksköterska eller datateknik?;2021-05-10;30;2344;https://www.flashback.org/t3319058;Utbildning och studier;2021-04-10;"Har I ett par månader gått i tankarna på att läsa sjuksköterskeprogrammet till hösten då jag så gärna vill ha jobb.
Jag hinner med en treårig högskoleutbildning innan jag fyller 30, men jag kommer helt enkelt inte orka med att gå arbetslös efter utbildningen, nu när jag läst en yrkesutbildning som bara var skit på dessa breddgrader. 

Sjuksköterska är ett jobb jag helt enkelt kan tänka mig är drägligt, efter någon månad som vårdbiträde på äldreboende.
Jag sprudlar inte av glädje inför tanken att sätta nålar i armen på folk och stoppa kaktetrar i dem.
Men att garanterat ha jobb, och dessutom kunna flytta I princip var jag vill känns som en gigantisk trygghet.

Datateknik känns som något väldigt nära hjärtat.
Jag är uppväxt med dator framför mig ända sedan jag lärde mig läsa då jag var 3.
Såtillvida att jag får jobba med datorer så känns det en miljon gånger roligare än kiss, bajs, blod och sjukdomar.
Men jag förmodar att jag behöver sälja in mig själv mycket mer på ett sådant kneg.

Och jag är inte bra på att sälja in mig själv.
Jag kan vara det, men generellt är jag inte det. Dessutom har jag svårt för kontorister då de I min upplevelse mest svär, pratar om pengar, eller pratar illa om folk. Och då blir jag inte heller helt medgörlig, vilket jag självklart borde jobba på.

Men hur lätt får man jobb om man läser datateknik?
Lönen är ovidkommande, men det får ju gärna vara över 30.000 efter en femårsperiod iallafall.

Handlar det mycket om att få rätt sommarjobb under plugget och vilka projekt man jobbat på medans?"
